"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Quantity","Unit Price","Description"
"DEV-13743","SparkFun Electronics","1568-1356-ND","1","8.30000","SPARKFUN LEVEL SHIFTING MICROSD"
"LTL-4222N","Lite-On Inc.","160-1140-ND","2","0.54000","LED RED CLEAR T-1 T/H"
"SR215C104KAR","AVX Corporation","478-3188-ND","3","0.30000","CAP CER 0.1UF 50V X7R RADIAL"
"7130LA35PDG","Renesas Electronics America Inc.","800-2448-5-ND","4","15.86000","IC SRAM 8K PARALLEL 48DIP"
"CF18JT22K0","Stackpole Electronics Inc","CF18JT22K0CT-ND","5","0.16000","RES 22K OHM 1/8W 5% CF AXIAL"
"PIC18F47K42-I/P","Microchip Technology","PIC18F47K42-I/P-ND","6","4.00000","IC MCU 8BIT 128KB FLASH 40DIP"
"PPPC051LFBN-RC","Sullins Connector Solutions","S7038-ND","7","0.74000","CONN HDR 5POS 0.1 GOLD PCB"
"CF18JT1K00","Stackpole Electronics Inc","CF18JT1K00CT-ND","8","0.16000","RES 1K OHM 1/8W 5% CF AXIAL"
"TSW-105-06-T-S","Samtec Inc.","SAM1027-05-ND","9","0.57000","CONN HEADER VERT 5POS 2.54MM"
