"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price CAD"
"1","1","1568-1356-ND","DEV-13743","SPARKFUN LEVEL SHIFTING MICROSD","","1","0","7.47000","7.47"
"2","1","160-1140-ND","LTL-4222N","LED RED CLEAR T-1 T/H","","1","0","0.49000","0.49"
"3","3","478-3188-ND","SR215C104KAR","CAP CER 0.1UF 50V X7R RADIAL","","3","0","0.69000","2.07"
"4","1","800-2448-5-ND","7130LA35PDG","IC SRAM 8KBIT PARALLEL 48DIP","","1","0","17.63000","17.63"
"5","1","CF18JT22K0CT-ND","CF18JT22K0","RES 22K OHM 1/8W 5% CF AXIAL","","1","0","0.14000","0.14"
"6","1","PIC18F47K42-I/P-ND","PIC18F47K42-I/P","IC MCU 8BIT 128KB FLASH 40DIP","","1","0","4.35000","4.35"
"7","1","S7038-ND","PPPC051LFBN-RC","CONN HDR 5POS 0.1 GOLD PCB","","1","0","0.67000","0.67"
"8","1","CF18JT1K00CT-ND","CF18JT1K00","RES 1K OHM 1/8W 5% CF AXIAL","","1","0","0.14000","0.14"
"9","1","SAM1027-05-ND","TSW-105-06-T-S","CONN HEADER VERT 5POS 2.54MM","","1","0","0.56000","0.56"
